EMA_fast,EMA_slow,Capital,Trades
10,21,2011.5652544974268,278
14,21,1984.454797292937,276
10,28,1977.7161625846134,274
8,28,1972.0588140345783,270
8,21,1969.7269114724481,274
8,30,1967.3513827078452,274
12,21,1966.457693727154,274
10,30,1930.7550343384648,274
12,28,1929.1230070095644,274
10,36,1922.1734986467523,274
20,36,1921.4124015309694,254
8,36,1920.5743783658338,274
12,30,1906.7706172690723,272
14,50,1904.8227290412196,248
14,28,1895.4398131594774,274
14,30,1890.728707721419,272
20,21,1887.6299225132318,274
20,30,1879.3180004883004,260
14,36,1879.0361013540833,266
12,36,1878.8206595482434,274
12,50,1873.8914505701684,252
20,28,1863.711392093205,262
20,50,1859.6487501165188,232
8,50,1826.3286459495819,266
10,50,1820.374806275551,258
